cath_id,method,query_partition,reference_partition,query_rows,reference_rows,query_unique_pockets,reference_unique_pockets,shared_unique_pockets,seen_query_rows,seen_query_row_fraction,seen_query_unique_pocket_fraction
3.30.565.10,composite_scaffold,cath_lso_test,development,7882,431125,259,17207,0,0,0.0,0.0
3.30.565.10,random,validation,train,21557,406699,4100,16578,3471,20927,0.9707751542422415,0.8465853658536585
3.30.565.10,random,cath_lso_test,train,7882,406699,259,16578,0,0,0.0,0.0
3.30.565.10,random,cath_lso_test,development,7882,428256,259,17207,0,0,0.0,0.0
3.40.190.10,composite_scaffold,validation,train,21811,414404,6237,14458,3790,19342,0.8868002384118105,0.6076639409972743
3.40.190.10,composite_scaffold,cath_lso_test,train,2657,414404,562,14458,1,1,0.0003763643206624012,0.0017793594306049821
3.40.190.10,composite_scaffold,cath_lso_test,development,2657,436215,562,16905,1,1,0.0003763643206624012,0.0017793594306049821
3.40.190.10,random,validation,train,21811,411366,4131,16308,3534,21213,0.9725826417862546,0.8554829339143064
3.40.190.10,random,cath_lso_test,train,2657,411366,562,16308,1,1,0.0003763643206624012,0.0017793594306049821
3.40.190.10,random,cath_lso_test,development,2657,433177,562,16905,1,1,0.0003763643206624012,0.0017793594306049821
