cath,development_split,evaluation,reference,identity,weighting,reference_rows,query_rows,reference_unique_keys,denominator,seen,unseen,fraction_seen,excluded_empty_key,excluded_generic_failure,query_acyclic_rows,query_acyclic_unique_canonical_ligands
3.10.200.10,random,cath_lso_test,development,murcko_typed,unique_canonical_ligands,325641,95479,35660,6502,3139,3363,0.48277453091356504,68,0,161,68
3.10.200.10,random,cath_lso_test,development,murcko_typed,unique_keys,325641,95479,35660,1509,257,1252,0.170311464546057,1,0,161,68
3.10.200.10,random,cath_lso_test,development,murcko_generic,rows,325641,95479,18308,95314,87049,8265,0.9132866105713746,161,4,161,68
3.10.200.10,random,cath_lso_test,development,murcko_generic,unique_raw_ligands,325641,95479,18308,6756,5399,1357,0.7991415038484311,73,4,161,68
3.10.200.10,random,cath_lso_test,development,murcko_generic,unique_canonical_ligands,325641,95479,18308,6498,5175,1323,0.796398891966759,68,4,161,68
3.10.200.10,random,cath_lso_test,development,murcko_generic,unique_keys,325641,95479,18308,860,389,471,0.45232558139534884,1,1,161,68
3.30.565.10,composite_scaffold,validation,train,smiles,rows,409568,21557,114161,21557,15704,5853,0.7284872663172055,0,0,297,245
3.30.565.10,composite_scaffold,validation,train,smiles,unique_raw_ligands,409568,21557,114161,15019,9470,5549,0.6305346561022704,0,0,297,245
3.30.565.10,composite_scaffold,validation,train,smiles,unique_keys,409568,21557,114161,15019,9470,5549,0.6305346561022704,0,0,297,245
3.30.565.10,composite_scaffold,validation,train,canonical_isomeric,rows,409568,21557,109092,21557,16184,5373,0.750753815465974,0,0,297,245
3.30.565.10,composite_scaffold,validation,train,canonical_isomeric,unique_raw_ligands,409568,21557,109092,15019,9917,5102,0.6602969571875624,0,0,297,245
3.30.565.10,composite_scaffold,validation,train,canonical_isomeric,unique_canonical_ligands,409568,21557,109092,14836,9754,5082,0.6574548395794014,0,0,297,245
3.30.565.10,composite_scaffold,validation,train,canonical_isomeric,unique_keys,409568,21557,109092,14836,9754,5082,0.6574548395794014,0,0,297,245
3.30.565.10,composite_scaffold,validation,train,murcko_typed,rows,409568,21557,33611,21260,18200,3060,0.8560677328316086,297,0,297,245
3.30.565.10,composite_scaffold,validation,train,murcko_typed,unique_raw_ligands,409568,21557,33611,14770,11885,2885,0.8046716316858497,249,0,297,245
3.30.565.10,composite_scaffold,validation,train,murcko_typed,unique_canonical_ligands,409568,21557,33611,14591,11719,2872,0.8031663354122405,245,0,297,245
3.30.565.10,composite_scaffold,validation,train,murcko_typed,unique_keys,409568,21557,33611,12401,9600,2801,0.7741311184581888,1,0,297,245
3.30.565.10,composite_scaffold,validation,train,murcko_generic,rows,409568,21557,17275,21257,19873,1384,0.9348920355647551,297,3,297,245
3.30.565.10,composite_scaffold,validation,train,murcko_generic,unique_raw_ligands,409568,21557,17275,14767,13442,1325,0.9102729058034807,249,3,297,245
3.30.565.10,composite_scaffold,validation,train,murcko_generic,unique_canonical_ligands,409568,21557,17275,14588,13270,1318,0.9096517685769125,245,3,297,245
3.30.565.10,composite_scaffold,validation,train,murcko_generic,unique_keys,409568,21557,17275,7962,6690,1272,0.840241145440844,1,1,297,245
3.30.565.10,composite_scaffold,cath_lso_test,train,smiles,rows,409568,7882,114161,7882,85,7797,0.010784064958132453,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,smiles,unique_raw_ligands,409568,7882,114161,1748,18,1730,0.010297482837528604,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,smiles,unique_keys,409568,7882,114161,1748,18,1730,0.010297482837528604,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,canonical_isomeric,rows,409568,7882,109092,7882,94,7788,0.011925907130170008,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,canonical_isomeric,unique_raw_ligands,409568,7882,109092,1748,25,1723,0.014302059496567507,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,canonical_isomeric,unique_canonical_ligands,409568,7882,109092,1596,23,1573,0.014411027568922305,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,canonical_isomeric,unique_keys,409568,7882,109092,1596,23,1573,0.014411027568922305,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,murcko_typed,rows,409568,7882,33611,7882,1897,5985,0.24067495559502664,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,murcko_typed,unique_raw_ligands,409568,7882,33611,1748,240,1508,0.13729977116704806,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,murcko_typed,unique_canonical_ligands,409568,7882,33611,1596,221,1375,0.13847117794486216,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,murcko_typed,unique_keys,409568,7882,33611,556,54,502,0.09712230215827339,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,murcko_generic,rows,409568,7882,17275,7882,4240,3642,0.5379345343821366,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,murcko_generic,unique_raw_ligands,409568,7882,17275,1748,655,1093,0.37471395881006864,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,murcko_generic,unique_canonical_ligands,409568,7882,17275,1596,609,987,0.3815789473684211,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,train,murcko_generic,unique_keys,409568,7882,17275,336,102,234,0.30357142857142855,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,smiles,rows,431125,7882,119710,7882,85,7797,0.010784064958132453,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,smiles,unique_raw_ligands,431125,7882,119710,1748,18,1730,0.010297482837528604,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,smiles,unique_keys,431125,7882,119710,1748,18,1730,0.010297482837528604,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,canonical_isomeric,rows,431125,7882,114174,7882,106,7776,0.013448363359553413,0,0,0,0
3.30.565.10,composite_scaffold,cath_lso_test,development,canonical_isomeric,unique_raw_ligands,431125,7882,114174,1748,27,1721,0.015446224256292907,0,0,0,0
